Epoch	Learning Rate	Train Loss	Test Loss	Train Err.	Test Err.	
1.000000	0.100000	2.676792	2.008368	84.310000	79.290000	
2.000000	0.100000	2.101623	1.845485	77.800000	71.030000	
3.000000	0.100000	1.971458	1.749992	72.530000	68.220000	
4.000000	0.100000	1.841546	1.559014	67.018000	60.510000	
5.000000	0.100000	1.745098	1.423742	61.994000	53.820000	
6.000000	0.100000	1.634373	1.302540	55.856000	48.590000	
7.000000	0.100000	1.524039	1.132526	50.236000	40.960000	
8.000000	0.100000	1.421027	1.023580	45.254000	36.230000	
9.000000	0.100000	1.335944	0.936647	41.450000	33.250000	
10.000000	0.100000	1.272140	0.957746	38.678000	32.790000	
11.000000	0.100000	1.228420	0.916392	36.236000	30.970000	
12.000000	0.100000	1.188490	0.909019	34.388000	30.650000	
13.000000	0.100000	1.163912	0.780313	32.914000	26.560000	
14.000000	0.100000	1.134256	0.712355	31.492000	24.110000	
15.000000	0.100000	1.115756	0.796777	30.794000	26.440000	
16.000000	0.100000	1.094594	0.706915	29.692000	23.300000	
17.000000	0.100000	1.081788	0.703381	29.252000	23.810000	
18.000000	0.100000	1.065267	0.663220	28.472000	22.030000	
19.000000	0.100000	1.054960	0.649688	27.858000	21.730000	
20.000000	0.100000	1.046528	0.631237	27.402000	20.720000	
21.000000	0.100000	1.036328	0.643139	26.894000	21.330000	
22.000000	0.100000	1.029052	0.627821	26.746000	20.920000	
23.000000	0.100000	1.029984	0.625472	26.442000	19.690000	
24.000000	0.100000	1.021778	0.642642	26.152000	21.460000	
25.000000	0.100000	1.016793	0.622422	26.040000	20.460000	
26.000000	0.050000	0.900225	0.488797	21.802000	15.900000	
27.000000	0.050000	0.874295	0.535661	20.544000	17.640000	
28.000000	0.050000	0.872808	0.460619	20.596000	15.180000	
29.000000	0.050000	0.863481	0.474966	20.134000	15.530000	
30.000000	0.050000	0.869274	0.456022	20.328000	15.070000	
31.000000	0.050000	0.874008	0.473812	20.722000	15.950000	
32.000000	0.050000	0.867419	0.474172	20.446000	15.730000	
33.000000	0.050000	0.863955	0.459891	20.272000	15.070000	
34.000000	0.050000	0.860814	0.472396	20.328000	15.580000	
35.000000	0.050000	0.854434	0.448807	20.132000	14.450000	
36.000000	0.050000	0.854927	0.441008	20.088000	14.600000	
37.000000	0.050000	0.855341	0.478689	20.024000	15.910000	
38.000000	0.050000	0.850322	0.470944	19.890000	15.510000	
39.000000	0.050000	0.849717	0.482463	20.044000	15.520000	
40.000000	0.050000	0.843209	0.436312	19.708000	14.050000	
41.000000	0.050000	0.842230	0.446277	19.936000	14.970000	
42.000000	0.050000	0.841961	0.445944	20.040000	14.690000	
43.000000	0.050000	0.836533	0.446060	19.766000	14.460000	
44.000000	0.050000	0.829277	0.451116	19.508000	14.540000	
45.000000	0.050000	0.829627	0.445045	19.322000	14.590000	
46.000000	0.050000	0.828853	0.442179	19.540000	14.070000	
47.000000	0.050000	0.826137	0.452237	19.498000	14.650000	
48.000000	0.050000	0.823085	0.449050	19.392000	14.630000	
49.000000	0.050000	0.821817	0.469572	19.344000	15.080000	
50.000000	0.050000	0.819262	0.428423	19.298000	14.010000	
51.000000	0.025000	0.749874	0.357968	16.926000	11.760000	
52.000000	0.025000	0.722130	0.345394	15.856000	11.390000	
53.000000	0.025000	0.715135	0.354825	15.412000	11.850000	
54.000000	0.025000	0.711141	0.335889	15.418000	10.870000	
55.000000	0.025000	0.707470	0.337719	15.444000	11.240000	
56.000000	0.025000	0.706651	0.341900	15.246000	10.640000	
57.000000	0.025000	0.706751	0.355505	15.404000	11.440000	
58.000000	0.025000	0.704826	0.330900	15.416000	10.830000	
59.000000	0.025000	0.704830	0.347859	15.554000	11.390000	
60.000000	0.025000	0.709725	0.349100	15.856000	11.620000	
61.000000	0.025000	0.711710	0.353151	15.848000	11.830000	
62.000000	0.025000	0.706770	0.336099	15.530000	11.380000	
63.000000	0.025000	0.705880	0.361832	15.664000	11.690000	
64.000000	0.025000	0.704554	0.356456	15.752000	11.680000	
65.000000	0.025000	0.702650	0.345632	15.860000	11.340000	
66.000000	0.025000	0.701476	0.340856	15.800000	11.180000	
67.000000	0.025000	0.704722	0.347897	16.128000	11.140000	
68.000000	0.025000	0.699850	0.355452	16.048000	11.750000	
69.000000	0.025000	0.694900	0.348102	15.758000	11.220000	
70.000000	0.025000	0.698815	0.339468	15.912000	11.130000	
71.000000	0.025000	0.695762	0.349941	15.870000	11.330000	
72.000000	0.025000	0.696883	0.333473	15.920000	10.920000	
73.000000	0.025000	0.693684	0.330707	15.956000	10.800000	
74.000000	0.025000	0.688536	0.341993	15.782000	11.030000	
75.000000	0.025000	0.687076	0.345155	15.884000	11.240000	
76.000000	0.012500	0.641254	0.292230	13.946000	9.560000	
77.000000	0.012500	0.620327	0.300274	13.336000	9.740000	
78.000000	0.012500	0.615017	0.281024	12.946000	9.120000	
79.000000	0.012500	0.609142	0.291531	12.742000	9.400000	
80.000000	0.012500	0.605599	0.286315	12.762000	9.270000	
81.000000	0.012500	0.604744	0.299467	12.726000	9.800000	
82.000000	0.012500	0.601998	0.281660	12.564000	9.110000	
83.000000	0.012500	0.598896	0.286201	12.544000	9.230000	
84.000000	0.012500	0.597918	0.281627	12.622000	9.380000	
85.000000	0.012500	0.597226	0.282849	12.494000	9.080000	
86.000000	0.012500	0.596627	0.281833	12.550000	9.240000	
87.000000	0.012500	0.593104	0.275881	12.368000	8.850000	
88.000000	0.012500	0.597119	0.283415	12.712000	9.180000	
89.000000	0.012500	0.597921	0.268770	12.648000	8.820000	
90.000000	0.012500	0.589657	0.285711	12.466000	8.940000	
91.000000	0.012500	0.588151	0.270364	12.546000	8.740000	
92.000000	0.012500	0.591977	0.287654	12.668000	9.220000	
93.000000	0.012500	0.592065	0.283758	12.648000	9.120000	
94.000000	0.012500	0.590154	0.285308	12.766000	9.110000	
95.000000	0.012500	0.587143	0.290503	12.564000	9.240000	
96.000000	0.012500	0.591773	0.284763	12.738000	9.500000	
